"ID","Question","Answer1","Answer2","Answer3","Answer4","Answer5","Answer6","Level","Class","Source","Correct","Add2","Add3","Add4"
"3","In a class composed of x girls and y boys what part of the class is composed of girls","y/(x + y)","x/xy","x/(x + y)","y/xy","","","","","","C","","",""
"6","What is the maximum number of half-pint bottles of cream that can be filled with a 4-gallon can of cream(2 pt.=1 qt. and 4 qt.=1 gal)
","16","24","30","64","","","","","","D","","",""
"7","If the operation,^ is defined by the equation x ^ y = 2x + y,what is the value of a in 2 ^ a = a ^ 3","0","1","-1","4","","","","","","B","","",""
"8","A coffee shop blends 2 kinds of coffee,putting in 2 parts of a 33p. a gm. grade to 1 part of a 24p. a gm.If the mixture is changed to 1 part of the 33p. a gm. to 2 parts of the less expensive grade,how much will the shop save in blending 100 gms.","Rs. 90","Rs. 1","Rs. 3","Rs. 8","","","","","","C","","",""
"9","There are 200 questions on a 3 hr examination.Among these questions are 50 mathematics problems.It is suggested that twice as much time be spent on each maths problem as for each other question.How many minutes should be spent on mathematics problems","36","72","60","100","","","","","","B","","",""
"11","In a group of 15,7 have studied Latin, 8 have studied Greek, and 3 have not studied either.How many of these studied both Latin and Greek","0","3","4","5","","","","","","B","","",""
"12","If 13 = 13w/(1-w) ,then (2w)2 =","b < a","b > a","b = a","b >= a","","","","","","A","","",""
"13","In june a baseball team that played 60 games had won 30% of its game played. After a phenomenal winning streak this team raised its average to 50% .How many games must the team have won in a row to attain this average?","12","20","24","30","","","","","","C","","",""
"14","M men agree to purchase a gift for Rs. D. If three men drop out how much more will each have to contribute towards the purchase of the gift","D/(M-3)","MD/3","M/(D-3)","3D/(M2-3M)","","","","","","D","","",""
"15","A company contracts to paint 3 houses. Mr.Brown can paint a house in 6 days while Mr.Black would take 8 days and Mr.Blue 12 days. After 8 days Mr.Brown goes on vacation and Mr. Black begins to work for a period of 6 days. How many days will it take Mr.Blue to complete the contract?","7","8","11","12","","","","","","C","","",""
"16","2 hours after a freight train leaves Delhi a passenger train leaves the same station travelling in the same direction at an average speed of 16 km/hr. After travelling 4 hrs the passenger train overtakes the freight train. The average speed of the freight train was?","30","40","58","60","","","","","","B","","",""
"17","If 9x-3y=12 and 3x-5y=7 then 6x-2y = ?","-5","4","2","8","","","","","","D","","",""
"18","There are 5 red shoes, 4 green shoes. If one draw randomly a shoe what is the probability of getting a red shoe ?","","","","","","","","","","5c1/ 9c1","","",""
"19","What is the selling price of a car? If the cost of the car is Rs.60 and a profit of 10% over selling price is earned ","","","","","","","","","","Rs. 66/-","","",""
"20","1/3 of girls , 1/2 of boys go to canteen .What factor and total number of classmates go to canteen.","","","","","","","","","","Cannot be determined.","","",""
"21","The price of a product is reduced by 30% . By what percentage should it be increased to make it 100%.","","","","","","","","","","42.857%","","",""
"22","There is a square of side 6cm . A circle is inscribed inside the square. Find the ratio of the area of circle to square.","","","","","","","","","","11/14","","",""
"23","There are two candles of equal lengths and of different thickness. The thicker one lasts of six hours. The thinner 2 hours less than the thicker one. Ramesh lights the two candles at the same time. When he went to bed he saw the thicker one is twice the length of the thinner one. How long ago did Ramesh light the two candles .","","","","","","","","","","3 hrs","","",""
"24","If M/N = 6/5,then 3M+2N = ?
If p/q = 5/4 , then 2p+q= ?
If PQRST is a parallelogram what it the ratio of triangle PQS & parallelogram PQRST .","","","","","","","","","","1:2","","",""
"25","The cost of an item is Rs 12.60. If the profit is 10% over selling price what is the selling price ?","","","","","","","","","","Rs 13.86/-","","",""
"26","There are 6 red shoes & 4 green shoes . If two of red shoes are drawn what is the probability of getting red shoes","","","","","","","","","","6c2/10c2","","",""
"27","To 15 lts of water containing 20% alcohol, we add 5 lts of pure water. What is % alcohol. ","","","","","","","","","","15%","","",""
"28","A worker is paid Rs.20/- for a full days work. He works 1,1/3,2/3,1/8,3/4 days in a week. What is the total amount paid for that worker ? ","","","","","","","","","","Rs. 57.50","","",""
"29","If the value of x lies between 0 & 1 which of the following is the largest?","x","x^2","x^x","1/x","","","","","","D","","",""
"30","If the total distance of a journey is 120 km .If one goes by 60 kmph and comes back at 40kmph what is the average speed during the journey?","","","","","","","","","","48kmph","","",""
"31","A school has 30% students from Maharashtra .Out of these 20% are Bombey students. Find the total percentage of Bombay?","","","","","","","","","","6%","","",""
"32","An equilateral triangle of sides 3 inch each is given. How many equilateral triangles of side 1 inch can be formed from it?","","","","","","","","","","9","","",""
"33","If A/B = 3/5,then 15A = ?","","","","","","","","","","9B","","",""
"34","Each side of a rectangle is increased by 100% .By what percentage does the area increase? ","","","","","","","","","","300%","","",""
"35","Perimeter of the back wheel = 9 feet, front wheel = 7 feet on a certain distance, the front wheel gets 10 revolutions more than the back wheel .What is the distance? Perimeter of front wheel =30, back wheel = 20. If front wheel revolves 240 times. How many revolutions will the back wheel take?","","","","","","","","","","315 feet; 360 times","","",""
"36","20% of a 6 litre solution and 60% of 4 litre solution are mixed. What percentage of the mixture of solution","","","","","","","","","","36%","","",""
"37","City A's population is 68000, decreasing at a rate of 80 people per year. City B having population 42000 is increasing at a rate of 120 people per year. In how many years both the cities will have same population?","","","","","","","","","","130 years","","",""
"38","Two cars are 15 kms apart. One is turning at a speed of 50kmph and the other at 40kmph . How much time will it take for the two cars to meet?","","","","","","","","","","3/2 hours","","",""
"39","A person wants to buy 3 paise and 5 paise stamps costing exactly one rupee. If he buys which of the following number of stamps he won't able to buy 3 paise stamps.","","","","","","","","","","9","","",""
"40","Which of the following fractions is less than 1/3","22/62","15/46","2/3","1","","","","","","B","","",""
"41","There are two circles, one circle is inscribed and another circle is circumscribed over a square. What is the ratio of area of inner to outer circle?","","","","","","","","","","1:2","","",""
"42","Three types of tea the a,b,c costs Rs. 95/kg,100/kg and70/kg respectively.How many kgs of each should be blended to produce 100 kg of mixture worth Rs.90/kg, given that the quntities of band c are equal","70,15,15","50,25,25","60,20,20","40,30,30","","","","","","B","","",""
"43","In a class, except 18 all are above 50 years.15 are below 50 years of age. How many people are there","30","33","36","None of these","","","","","","D","","",""
"44","If a boat is moving in upstream with velocity of 14 km/hr and goes downstream with a velocity of 40 km/hr, then what is the speed of the stream ?","13 km/hr","26 km/hr","34 km/hr","None of these","","","","","","A","","",""
"45","Find the value of ( 0.75 * 0.75 * 0.75 - 0.001 ) / ( 0.75 * 0.75 - 0.075 + 0.01)","0.845","1.908","2.312","0.001","","","","","","A","","",""
"46","A can have a piece of work done in 8 days, B can work three times faster than the A, C can work five times faster than A. How many days will they take to do the work together ?","3 days","8/9 days","4 days","can't say","","","","","","B","","",""
"47","A car travels a certain distance taking 7 hrs in forward journey, during the return journey increased speed 12km/hr takes the times 5 hrs. What is the distance travelled","210 kms","30 kms","20 kms","None of these","","","","","","B","","",""
"48","Instead of multiplying a number by 7, the number is divided by 7. What is the percentage of error obtained ?","","","","","","","","","","97.96%","","",""
"49","Find (7x + 4y ) / (x-2y) if x/2y = 3/2 ?","6","8","7","insufficient data","","","","","","C","","",""
"50","A man buys 12 lts of liquid which contains 20% of the liquid and the rest is water. He then mixes it with 10 lts of another mixture with 30% of liquid.What is the % of water in the new mixture?","","","","","","","","","","24.54%","","",""
"51","If a man buys 1 lt of milk for Rs.12 and mixes it with 20% water and sells it for Rs.15, then what is the percentage of gain?","","","","","","","","","","25%","","",""
"52","Pipe A can fill a tank in 30 mins and Pipe B can fill it in 28 mins.If 3/4th of the tank is filled by Pipe B alone and both are opened, how much time is required by both the pipes to fill the tank completely ?","","","","","","","","","","3.6 mins","","",""
"53","If on an item a company gives 25% discount, they earn 25% profit. If they now give 10% discount then what is the profit percentage.","40%","55%","35%","30%","","","","","","D","","",""
"54","A certain number of men can finish a piece of work in 10 days. If however there were 10 men less it will take 10 days more for the work to be finished. How many men were there originally?","110 men","130 men","100 men","None of these","","","","","","A","","",""
"55","In simple interest what sum amounts of Rs.1120/- in 4 years and Rs.1200/- in 5 years ?","Rs. 500","Rs. 600","Rs. 800","Rs. 900","","","","","","C","","",""
"56","If a sum of money compound annually amounts of thrice itself in 3 years. In how many years will it become 9 times itself.","6","8","10","12","","","","","","A","","",""
"57","Two trains move in the same direction at 50 kmph and 32 kmph respectively. A man in the slower train observes the 15 seconds elapse before the faster train completely passes by him. What is the length of faster train ?","100 m","75 m","120 m","50 m","","","","","","B","","",""
"58","How many mashes are there in 1 squrare meter of wire gauge if each mesh is 8mm long and 5mm wide ?","2500","25000","250","250000","","","","","","B","","",""
"59","x% of y is y% of ?","x/y","2y","x","cant be determined","","","","","","C","","",""
"60","The price of sugar increases by 20%, by what % should a housewife reduce the consumption of sugar so that expenditure on sugar can be same as before ?","15%","16.66%","12%","9%","","","","","","B","","",""
"61","A man spends half of his salary on household expenses, 1/4th for rent, 1/5th for travel expenses, the man deposits the rest in a bank. If his monthly deposits in the bank amount 50, what is his monthly salary ?","Rs 500","Rs 1500","Rs 1000","Rs 900","","","","","","C","","",""
"62","The population of a city increases @ 4% p.a. There is an additional annual increase of 4% of the population due to the influx of job seekers, find the % increase in population after 2 years ?","","","","","","","","","","16.64%","","",""
"63","The ratio of the number of boys and girls in a school is 3:2 Out of these 10% the boys and 25% of girls are scholarship holders. % of students who are not scholarship holders?","","","","","","","","","","84%","","",""
"64","15 men take 21 days of 8 hrs. each to do a piece of work. How many days of 6 hrs. each would it take for 21 women if 3 women do as much work as 2 men?","30","20","19","29","","","","","","A","","",""
"65","A cylinder is 6 cms in diameter and 6 cms in height. If spheres of the same size are made from the material obtained, what is the diameter of each sphere?","5 cm","2 cm","3 cm","4 cm","","","","","","C","","",""
"66","A rectangular plank (2)1/2 meters wide can be placed so that it is on either side of the diagonal of a square shown below.(Figure is not available)What is the area of the plank? ","","","","","","","","","","7*(2)1/2 ","","",""
"67","What is the smallest number by which 2880 must be divided in order to make it into a perfect square ?","3","4","5","6","","","","","","C","","",""
"68","A father is 30 years older than his son however he will be only thrice as old as the son after 5 years what is father's present age ?","40","30","50","None of these","","","","","","A","","",""
"69","On a particular day A and B decide that they would either speak the truth or will lie. C asks A whether he is speaking truth or lying? He answers and B listens to what he said. C then asks B what A has said B says ""A says that he is a liar"" What is B speaking ?","Truth","Lie ","Truth when A lies","Cannot be determined","","","","","","B","","",""
"70","If there are 1024*1280 pixels on a screen and each pixel can have around 16 million colors. Find the memory required for this?","","","","","","","","","","4MB","","",""
"71","A boy has Rs 2. He wins or loses Re 1 at a time If he wins he gets Re 1 and if he loses the game he loses Re 1.He can loose only 5 times. He is out of the game if he earns Rs 5.Find the number of ways in which this is possible","","","","","","","","","","16","","",""
"72","How many 1's are there in the binary form of 8*1024 + 3*64 + 3","","","","","","","","","","4","","",""
"73","A man leaves office daily at 7pm A driver with car comes from his home to pick him from office and bring back home.One day he gets free at 5:30 and instead of waiting for driver he starts walking towards home. In the way he meets the car and returns home on car He reaches home 20 minutes earlier than usual. In how much time does the man reach home usually?? ","","","","","","","","","","1 hr 20 mins","","",""
"74","In objective test a correct ans score 4 marks and on a wrong ans 2 marks are ---. a student score 480 marks from 150 question. how many ans were correct?","120","130","110","150","","","","","","B","","",""
"75","What is the percentage represented by 0.03 * 0.05 ?","0.0015","0.000015","0.15","15","","","","","","B","","",""
"76","(x-a)(x-b)(x-c)....(x-z)","1","-1","0","Cant be determined","","","","","","C","","",""
"77","If a = 1, b = 2, c = 3.......z = 26 what is the value of p+q+r ?","33","51","52","48","","","","","","B","","",""
"78","A is 8 miles east of B.
C is 10 miles north of B.
D is 13 miles east of C and E is 2 miles north of D.
Find shortest distance between A and E.","5 miles","6 miles","13 miles","18 miles","","","","","","C","","",""
"79","If z = 1, y = 2.......a = 26. Find the value of z + y + x + .......+a.","351","221","400","200","","","","","","A","","",""
"80","There are 30 socks in a bag. Out of these 60 % are green and the rest are blue. What is the maximum number of times that socks have to be taken out so that atleast 1 blue pair is found.","21","2","18","20","","","","","","D","","",""
"81","How many two digit numbers have their square ending with 8.","13","12","0","11","","","","","","C","","",""
"82","How many numbers are there between 100 and 300 with 2 in the end and 2 in the beginning.","10","9","11","None of these","","","","","","A","","",""
"83","0.000006 * 0.0000007 = ?","0.0000000042","0.000000000042","0.0000000000042","0.00000000000042","","","","","","B","","",""
"84","You have Rs 1000 with 8% p.a compounded every 6 months. What is the total interest you get after 1 year.","Rs.116.40","Rs.345.60","Rs.224.50","Rs.160","","","","","","A","","",""
"85","If x + y =12,
x - y = 2
Find x + 2y.
","12","17","14","None of these","","","","","","B","","",""
"86","With one gallon of petrol a person moves at a speed of 50 mph and covers 16 miles. 3/4th of the distance is covered while moving at 60 mph. How many gallons does he need to cover 120 miles in 60 mph.","","","","","","","","","","10 Gallons","","",""
"87","A tap drains at x speed while tap B is closed. When both taps are open they drain at y speed. What is the speed of draining when only tap B is open","x - y","y - x","x","Cannot be determined","","","","","","B","","",""
"88","What is twenty percent of 25 % of 20.","2","1","5","4","","","","","","B","","",""
"89","A rectangle has the dimensions 6ft * 4ft. How many squares of 0.5 inches will it need to completely fill it.","32000","12824","13824","18324","","","","","","C","","",""
"90","a, c, e, g, _","h","i","d","j","","","","","","B","","",""
"91","a, e, i, m, q, u, _, _","y, c","b, f","g, i","None","","","","","","A","","",""
"92","ay , bz , cw , dx ,__","gu","ev","fv","eu","","","","","","D","","",""
"93","1, 2, 3, 5, 7, 11, __","15","9","13","12","","","","","","C; 13 - series of prime numbers","","",""
"94","kp , lo , mn , __","nm","np","op","pq","","","","","","A","","",""
"95","abc , zyx , def , wvu , ___","ghi","tsr","ihg","str","","","","","","A","","",""
"96","How is my mother's sister's brother's wife's child related to me?","brother","uncle","cousin","nephew","","","","","","A","","",""
"97","What will my mother's husband's father-in-law's son's daughter to me?","niece","aunt","sister","None of these","","","","","","D","","",""
"98","A person travels towards east from his house and travels a distance of 3 meters. He then ran a distance of 7 meters southwards and then travels towards east a distance of 3 meter Finally he travels southwards a distance of 10 meters.What is his vertical distance from his house?","10","17","12","None of these","","","","","","B","","",""
"99","The sum of three consecutive numbers is 132. Find the square of the largest number.","2026","640","900","2025","","","","","","D","","",""
"100","Father's age is five times his son's age. Four years back father was 9 times older than his son.Find their present ages","30yrs, 6yrs","25yrs, 5yrs","40yrs, 8yrs","None of these","","","","","","C","","",""
"101","If x + 5y = 6 ;
7x - 2y = 5
Find x - y","1","2","0","None of these","","","","","","C","","",""
"102","If the equation x2 + 2(k+2)x + 9k = 0 has equal roots, find k?","1,4","1,5","2,5","Cannot be determined","","","","","","A","","",""
"103","All books are pages. All pages are boxes.","All boxes are books","All books are boxes","No books are boxes","Both (a) and (b) are correct","","","","","","B","","",""
"104","No apple is an orange. All bananas are oranges.","All apples are oranges","Some apples are oranges","No apple is a banana","None of the above","","","","","","A","","",""
"105","All pens are elephants. Some elephants are cats.","Some pens are cats","No pens are cats","All pens are cats","None of these","","","","","","D","","",""
"106","All shares are debentures.No debentures are deposits.","All shares are deposits","Some shares are deposits","No shares are deposits","None of these","","","","","","D","","",""
"107","Many fathers are brothers. All brothers are priests.","No father is a priest","Many fathers are not priests","Many fathers are priests","Both (b) and (c)","","","","","","B","","",""
"108","Some pens are pencils. All pencils are costly.","No pens are costly","Some pens are costly","All pens are costly","None of these","","","","","","B","","",""
"109","How many two digit numbers have their squares ending with 6?","9","10","164","18","","","","","","D","","",""
"110","In how many years will $1200 amount to $1323 at 5%p.a. compound interest?","3 yrs","2 (1/2) yrs","2 yrs","None of these","","","","","","C","","",""
"111","How many terms of the series -9 , -6 , -3 ,.........must be taken such that the sum may be 66?","11","13","9","10","","","","","","A","","",""
"112","The sum of three numbers in AP is 27 and their product is 504. Find the terms.","7, 9, 11","5, 9, 13","4, 9, 14","None of these","","","","","","C","","",""
"113","Two pipes A and B can fill a tank in 20 and 25 seconds respectively.  Both are opened at the same time and after 5 minutes the first one is closed.How much more time will it take for the tank to be full?","13 min 45 secs","10 min","18 min","15 min 45 secs","","","","","","A","","",""
"114","How long will a train 150 metres long and travelling at a speed of 45 kmph, take to cross a platform of length 250 meters?","48 s","32 s","30 s","None of these","","","","","","B","","",""
"115","Walking at 4/5th of his usual speed, a man reaches his office 15 mins late. Find his usual time for reaching the office?","45 mins","2 hrs","1 hr","30 mins","","","","","","C","","",""
"116","If the word ""CODING"" is represented as DPEJOH , then the word ""CURFEW"" can be represented?","DVSGFX","DVSHFX","DGSHFX","DTSGFY","","","","","","A","","",""
"117","If in a certain code ""RANGE"" is coded as 12345 and ""RANDOM"" is coded as 123678, then the code for the word ""MANGO"" would be","82357","84563","82346","82543","","","","","","D","","",""
"118","If in a code ""COPIER"" is coded as 1234 and ""REAM"" is coded as 5421,then ""DREAM"" is coded as","35421","43512","35412","34521","","","","","","A","","",""
"119","The questions are based on the following data In a class of 150 students 55 speak English;85 speak Telugu and 30 speak neither English nor Telugu
How many speak both English and Telugu?","10","15","20","12","","","","","","C","","",""
"120","In a class of 150 students 55 speak English;85 speak Telugu and 30 speak neither English nor Telugu. 
How many speak only Telugu?","55","45","65","None of these","","","","","","C","","",""
"121","In a class of 150 students 55 speak English;85 speak Telugu and 30 speak neither English nor Telugu.
How many speak at least one of the two languages?","120","100","250","50","","","","","","A","","",""
"122","Find the lowest of the three numbers in a GP whose sum is 38 and product 945.","12","18","4","8","","","","","","D","","",""
"123","A can do a piece of work in 24days. When he had worked for 4 days B joined him. If the complete work is finished in 16 days form the beginning, in how many days can B alone finish the work?","24 days","18 days","36 days","","","","","","","C","","",""
"124","A person travels 12 km in the southward direction and then travels 5 km to the right.  He then travels 5 km to the right and then travels 15 km towards the right and finally travels 5km towards the east. How far is he from his starting place?","5 km","3 m","3.5 km","4 km","","","","","","B","","",""
